,camp,date,hour,city,coord,prop,unit,value
0,air quality sensor measurement,2024/05/31,6,strasbourg,"[7.75, 48.57]",NO2,µg/m3,2.37
1,air quality sensor measurement,2024/05/29,16,lille,"[3.06, 50.63]",PM10,µg/m3,3.95
2,air quality sensor measurement,2024/05/27,20,brest,"[4.49, 48.39]",NO2,µg/m3,7.65
3,air quality sensor measurement,2024/06/01,11,brest,"[4.49, 48.39]",NO2,µg/m3,7.02
4,air quality sensor measurement,2024/05/27,21,toulouse,"[1.44, 43.6]",NO2,µg/m3,6.42
5,air quality sensor measurement,2024/05/30,20,marseille,"[5.37, 43.3]",PM2.5,µg/m3,2.43
6,air quality sensor measurement,2024/05/31,23,lille,"[3.06, 50.63]",PM2.5,µg/m3,6.68
7,air quality sensor measurement,2024/05/30,1,marseille,"[5.37, 43.3]",NO2,µg/m3,2.89
8,air quality sensor measurement,2024/05/29,8,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.46
9,air quality sensor measurement,2024/06/02,6,marseille,"[5.37, 43.3]",NO2,µg/m3,5.93
10,air quality sensor measurement,2024/05/25,5,marseille,"[5.37, 43.3]",O3,µg/m3,2.98
11,air quality sensor measurement,2024/05/24,6,marseille,"[5.37, 43.3]",NO2,µg/m3,5.41
12,air quality sensor measurement,2024/05/24,22,brest,"[4.49, 48.39]",PM2.5,µg/m3,3.24
13,air quality sensor measurement,2024/06/01,4,brest,"[4.49, 48.39]",CO,mg/m3,7.23
14,air quality sensor measurement,2024/05/31,4,brest,"[4.49, 48.39]",PM2.5,µg/m3,5.75
15,air quality sensor measurement,2024/06/01,1,lille,"[3.06, 50.63]",PM2.5,µg/m3,0.87
16,air quality sensor measurement,2024/06/02,7,strasbourg,"[7.75, 48.57]",PM10,µg/m3,6.39
17,air quality sensor measurement,2024/05/29,2,toulouse,"[1.44, 43.6]",O3,µg/m3,3.83
18,air quality sensor measurement,2024/05/28,7,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,1.92
19,air quality sensor measurement,2024/05/28,23,lille,"[3.06, 50.63]",CO,mg/m3,6.77
20,air quality sensor measurement,2024/05/28,12,strasbourg,"[7.75, 48.57]",O3,µg/m3,1.25
21,air quality sensor measurement,2024/06/01,23,marseille,"[5.37, 43.3]",O3,µg/m3,7.94
22,air quality sensor measurement,2024/05/24,1,marseille,"[5.37, 43.3]",O3,µg/m3,4.58
23,air quality sensor measurement,2024/05/25,11,toulouse,"[1.44, 43.6]",CO,mg/m3,3.08
24,air quality sensor measurement,2024/05/28,1,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,2.53
25,air quality sensor measurement,2024/05/30,16,marseille,"[5.37, 43.3]",CO,mg/m3,8.35
26,air quality sensor measurement,2024/06/01,3,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,7.49
27,air quality sensor measurement,2024/06/01,16,strasbourg,"[7.75, 48.57]",PM10,µg/m3,0.89
28,air quality sensor measurement,2024/05/31,6,marseille,"[5.37, 43.3]",NO2,µg/m3,0.11
29,air quality sensor measurement,2024/05/27,23,strasbourg,"[7.75, 48.57]",O3,µg/m3,6.67
30,air quality sensor measurement,2024/05/31,8,brest,"[4.49, 48.39]",PM2.5,µg/m3,1.71
31,air quality sensor measurement,2024/05/29,7,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,8.9
32,air quality sensor measurement,2024/05/29,9,brest,"[4.49, 48.39]",PM2.5,µg/m3,7.54
33,air quality sensor measurement,2024/05/25,5,strasbourg,"[7.75, 48.57]",PM10,µg/m3,4.17
34,air quality sensor measurement,2024/05/28,14,lille,"[3.06, 50.63]",PM10,µg/m3,2.99
35,air quality sensor measurement,2024/05/27,11,lille,"[3.06, 50.63]",PM10,µg/m3,7.92
36,air quality sensor measurement,2024/05/30,23,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,5.48
37,air quality sensor measurement,2024/05/26,12,brest,"[4.49, 48.39]",PM2.5,µg/m3,3.6
38,air quality sensor measurement,2024/05/28,1,brest,"[4.49, 48.39]",CO,mg/m3,0.29
39,air quality sensor measurement,2024/06/01,12,marseille,"[5.37, 43.3]",O3,µg/m3,4.84
40,air quality sensor measurement,2024/05/30,18,marseille,"[5.37, 43.3]",O3,µg/m3,5.39
41,air quality sensor measurement,2024/06/02,8,lille,"[3.06, 50.63]",CO,mg/m3,3.67
42,air quality sensor measurement,2024/05/25,4,strasbourg,"[7.75, 48.57]",PM10,µg/m3,7.11
43,air quality sensor measurement,2024/06/02,18,toulouse,"[1.44, 43.6]",O3,µg/m3,0.52
44,air quality sensor measurement,2024/05/28,11,brest,"[4.49, 48.39]",CO,mg/m3,9.16
45,air quality sensor measurement,2024/05/28,4,brest,"[4.49, 48.39]",PM2.5,µg/m3,4.14
46,air quality sensor measurement,2024/06/02,6,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,5.48
47,air quality sensor measurement,2024/05/27,18,brest,"[4.49, 48.39]",PM10,µg/m3,2.65
48,air quality sensor measurement,2024/05/24,17,lille,"[3.06, 50.63]",PM2.5,µg/m3,2.22
49,air quality sensor measurement,2024/05/29,10,strasbourg,"[7.75, 48.57]",NO2,µg/m3,5.64
50,air quality sensor measurement,2024/06/01,17,brest,"[4.49, 48.39]",NO2,µg/m3,3.61
51,air quality sensor measurement,2024/05/26,23,toulouse,"[1.44, 43.6]",CO,mg/m3,9.13
52,air quality sensor measurement,2024/06/02,22,toulouse,"[1.44, 43.6]",O3,µg/m3,6.46
53,air quality sensor measurement,2024/05/28,3,strasbourg,"[7.75, 48.57]",O3,µg/m3,8.38
54,air quality sensor measurement,2024/05/25,21,toulouse,"[1.44, 43.6]",O3,µg/m3,4.62
55,air quality sensor measurement,2024/05/30,7,lille,"[3.06, 50.63]",PM10,µg/m3,4.41
56,air quality sensor measurement,2024/05/30,18,marseille,"[5.37, 43.3]",PM2.5,µg/m3,4.56
57,air quality sensor measurement,2024/05/25,19,brest,"[4.49, 48.39]",NO2,µg/m3,7.05
58,air quality sensor measurement,2024/06/01,7,lille,"[3.06, 50.63]",PM2.5,µg/m3,6.87
59,air quality sensor measurement,2024/06/02,18,lille,"[3.06, 50.63]",CO,mg/m3,3.13
60,air quality sensor measurement,2024/06/01,13,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,6.84
61,air quality sensor measurement,2024/05/25,16,strasbourg,"[7.75, 48.57]",PM10,µg/m3,6.01
62,air quality sensor measurement,2024/05/24,16,strasbourg,"[7.75, 48.57]",CO,mg/m3,9.49
63,air quality sensor measurement,2024/05/25,3,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.6
64,air quality sensor measurement,2024/05/27,22,marseille,"[5.37, 43.3]",NO2,µg/m3,5.08
65,air quality sensor measurement,2024/05/31,20,strasbourg,"[7.75, 48.57]",PM10,µg/m3,5.26
66,air quality sensor measurement,2024/05/24,18,marseille,"[5.37, 43.3]",PM10,µg/m3,6.31
67,air quality sensor measurement,2024/05/25,15,marseille,"[5.37, 43.3]",CO,mg/m3,8.09
68,air quality sensor measurement,2024/06/02,5,brest,"[4.49, 48.39]",CO,mg/m3,6.13
69,air quality sensor measurement,2024/05/29,18,strasbourg,"[7.75, 48.57]",PM10,µg/m3,7.5
70,air quality sensor measurement,2024/05/29,13,lille,"[3.06, 50.63]",O3,µg/m3,5.25
71,air quality sensor measurement,2024/05/30,19,marseille,"[5.37, 43.3]",O3,µg/m3,1.19
72,air quality sensor measurement,2024/05/26,8,marseille,"[5.37, 43.3]",CO,mg/m3,8.32
73,air quality sensor measurement,2024/05/27,6,strasbourg,"[7.75, 48.57]",PM10,µg/m3,6.93
74,air quality sensor measurement,2024/05/28,1,lille,"[3.06, 50.63]",PM2.5,µg/m3,7.59
75,air quality sensor measurement,2024/05/30,12,brest,"[4.49, 48.39]",CO,mg/m3,2.15
76,air quality sensor measurement,2024/05/28,0,lille,"[3.06, 50.63]",NO2,µg/m3,0.55
77,air quality sensor measurement,2024/05/29,11,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,7.66
78,air quality sensor measurement,2024/05/27,18,toulouse,"[1.44, 43.6]",CO,mg/m3,8.63
79,air quality sensor measurement,2024/05/25,17,lille,"[3.06, 50.63]",CO,mg/m3,5.18
80,air quality sensor measurement,2024/05/26,19,toulouse,"[1.44, 43.6]",CO,mg/m3,4.67
81,air quality sensor measurement,2024/05/25,23,strasbourg,"[7.75, 48.57]",NO2,µg/m3,6.12
82,air quality sensor measurement,2024/05/26,23,brest,"[4.49, 48.39]",O3,µg/m3,0.67
83,air quality sensor measurement,2024/06/01,8,brest,"[4.49, 48.39]",PM10,µg/m3,2.04
84,air quality sensor measurement,2024/05/25,21,marseille,"[5.37, 43.3]",PM2.5,µg/m3,7.79
85,air quality sensor measurement,2024/05/26,0,strasbourg,"[7.75, 48.57]",O3,µg/m3,9.13
86,air quality sensor measurement,2024/05/30,16,lille,"[3.06, 50.63]",CO,mg/m3,7.24
87,air quality sensor measurement,2024/05/24,19,marseille,"[5.37, 43.3]",NO2,µg/m3,1.48
88,air quality sensor measurement,2024/06/02,22,toulouse,"[1.44, 43.6]",CO,mg/m3,1.52
89,air quality sensor measurement,2024/06/01,1,brest,"[4.49, 48.39]",CO,mg/m3,7.3
90,air quality sensor measurement,2024/06/01,19,brest,"[4.49, 48.39]",CO,mg/m3,1.44
